date,price_usd,price_eur
2025-04-21 04:04:42.687,87228.60184957321,75747.66050273423
2025-04-21 05:03:43.715,87323.94026251098,75818.4871892836
2025-04-21 06:01:03.805,87542.22595116406,75914.4297892007
2025-04-21 07:03:21.837,87506.67640355151,76048.02715521205
2025-04-21 08:04:39.700,87446.14418253464,75816.06934469008
2025-04-21 09:09:32.608,87636.20600701202,75826.96433894912
2025-04-21 10:04:26.878,87491.96387120764,75767.60325264647
2025-04-21 11:04:03.285,87345.61297579524,75796.86337374858
2025-04-21 12:03:35.731,86951.23393622616,75331.76664286038
2025-04-21 13:09:29.945,87029.4162966705,75423.60848642801
2025-04-21 14:04:28.438,87170.64212179757,75673.7061323537
2025-04-21 15:04:55.430,88183.22734480911,76695.77468505553
2025-04-21 16:04:54.922,88053.972667927,76536.68915090748
2025-04-21 17:04:45.909,87263.62426688836,75816.2947719337
2025-04-21 18:01:23.676,86906.81060010106,75512.02412826882
2025-04-21 19:09:38.984,86872.88362183892,75393.8482715836
2025-04-21 20:09:30.503,87267.08133220796,75802.10672094516
2025-04-21 21:04:42.002,87240.99623910723,75778.40174325096
2025-04-21 22:09:27.086,87133.19844863031,75646.69029674273
2025-04-21 23:03:19.294,87118.9841439109,75619.01687996223
2025-04-22 00:09:28.505,87530.85023993472,76083.04046045463
2025-04-22 01:05:04.323,87561.47787989446,76202.82784635879
2025-04-22 02:01:12.250,88427.93464457903,76928.8544513326
2025-04-22 03:04:35.682,88134.56104399524,76548.56791827372
2025-04-22 04:09:24.542,88206.8971608964,76465.76528670665
2025-04-22 05:04:50.874,88097.16160628853,76404.81822074032
2025-04-22 06:00:15.774,88353.8950523597,76563.50952709756
2025-04-22 07:05:34.804,88198.71827387622,76687.90355195264
2025-04-22 08:04:36.748,88439.4111997744,76864.90325900394
2025-04-22 09:09:23.190,88443.79494014631,76910.28186097654
2025-04-22 10:04:52.792,88523.46935894903,77030.90994942347
2025-04-22 11:05:39.540,88555.86571149474,77081.50507952494
2025-04-22 12:00:34.600,88615.97002846011,77065.05556719039
2025-04-22 13:04:40.292,88978.81535347943,77566.57045387288
